,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
0,Punta Arenas,-53.16,-70.91,53.6,54,75,20.8
1,Ushuaia,-54.81,-68.31,48.2,70,40,16.11
2,Caravelas,-17.73,-39.27,80.13,94,56,14.0
3,Torbay,47.66,-52.73,41.0,80,90,6.93
4,Barrow,-38.31,-60.23,68.47,100,80,5.06
5,Chuy,-33.69,-53.46,67.57,100,44,4.72
6,Winsum,53.33,6.52,43.43,99,20,12.75
7,Cape Town,-33.93,18.42,73.4,64,0,6.93
8,Atuona,-9.8,-139.03,79.54,100,44,18.25
9,Bluff,-23.58,149.07,76.71,66,56,12.44
10,Avarua,-21.21,-159.78,73.4,88,75,18.34
11,Thames,-37.14,175.55,53.6,93,8,5.82
12,Bredasdorp,-34.53,20.04,71.6,73,8,6.93
13,Qaanaaq,77.48,-69.36,1.24,100,76,7.4
14,Kabanjahe,3.1,98.49,67.71,100,100,1.81
15,Ouango,4.31,22.55,82.65,78,0,2.71
16,Hobart,-42.88,147.33,48.2,66,20,8.05
17,Derbent,42.06,48.29,45.75,86,0,2.15
18,Kaitangata,-46.28,169.85,41.29,88,64,3.6
19,Alofi,-19.06,-169.92,69.8,94,100,1.12
20,Castro,-42.48,-73.76,55.83,99,92,9.98
21,Nanortalik,60.14,-45.24,35.35,96,92,22.28
22,Seymchan,62.93,152.39,7.45,89,68,2.71
23,Souillac,45.6,-0.6,41.81,87,90,13.87
24,Shingu,33.72,135.99,62.62,100,0,7.63
25,Busselton,-33.64,115.35,61.45,100,0,15.01
26,Whangamata,-37.21,175.87,52.99,90,8,4.16
27,Kruisfontein,-34.0,24.73,73.38,76,0,16.69
28,Mataura,-46.19,168.86,39.13,92,44,2.59
29,Payakumbuh,-0.23,100.63,71.62,93,20,2.15
30,Maniitsoq,65.42,-52.9,31.03,100,88,2.59
31,Mar del Plata,-46.43,-67.52,70.36,40,48,10.42
32,Sirjan,29.44,55.67,52.18,99,92,4.27
33,Sept-Iles,50.2,-66.38,28.4,63,90,16.11
34,Lata,30.78,78.62,40.71,86,0,2.37
35,Samarai,-10.62,150.67,74.77,100,92,8.3
36,Omsukchan,62.53,155.8,16.18,86,80,2.48
37,Upernavik,72.79,-56.15,21.85,100,88,10.98
38,Abu Samrah,35.3,37.18,63.61,26,0,6.29
39,Yellowknife,62.45,-114.38,30.2,92,90,3.36
40,Gat,14.69,-16.54,95.0,50,0,4.7
41,Hermanus,-34.42,19.24,90.52,23,20,3.27
42,Saldanha,41.42,-6.55,48.9,58,12,9.75
43,Lavrentiya,65.58,-170.99,24.64,100,12,3.83
44,Rikitea,-23.12,-134.97,71.4,100,100,12.44
45,Albany,42.65,-73.75,44.53,81,90,6.93
46,Sigli,5.38,95.96,78.82,97,12,3.6
47,Meulaboh,4.14,96.13,79.72,100,24,2.04
48,Tasiilaq,65.61,-37.64,28.4,58,20,9.17
49,Praxedis Guerrero,31.37,-106.02,55.4,76,1,3.36
50,Kieta,-6.22,155.63,77.74,99,12,1.59
51,Hargeysa,9.56,44.06,71.58,64,56,5.61
52,Ambon,47.55,-2.56,48.2,57,0,16.11
53,Eureka,40.8,-124.16,57.2,100,90,3.36
54,Severo-Kurilsk,50.68,156.12,43.45,99,92,18.59
55,Port Elizabeth,39.31,-74.98,54.16,76,90,13.87
56,Cidreira,-30.17,-50.22,66.9,87,80,6.85
57,Fatezh,52.09,35.86,48.2,93,90,6.71
58,Vaini,15.34,74.49,78.6,37,0,6.06
59,The Valley,18.22,-63.06,86.07,62,20,10.29
60,Yar-Sale,66.83,70.83,14.38,100,0,4.94
61,Lebu,8.96,38.73,66.2,34,20,16.11
62,Prainha,-1.8,-53.48,92.32,57,0,3.94
63,Rudnogorsk,57.27,103.75,28.6,83,0,4.27
64,Laguna,27.52,-110.01,73.4,69,5,2.37
65,Puerto Leguizamo,-0.19,-74.78,81.52,87,80,2.93
66,Tonantins,-2.86,-67.77,80.35,91,76,3.6
67,Talnakh,69.49,88.39,20.28,89,80,15.12
68,Nanakuli,21.39,-158.15,75.16,83,90,11.41
69,Vanimo,-2.67,141.3,83.5,100,12,7.4
70,Sitka,37.17,-99.65,56.95,39,20,8.75
71,Maragogi,-9.01,-35.22,86.88,65,0,15.23
72,Kropotkin,45.43,40.58,55.38,59,8,6.06
73,Kapaa,22.08,-159.32,75.2,94,75,17.22
74,Airai,-8.93,125.41,65.68,84,0,1.48
75,Saint-Philippe,45.36,-73.48,36.45,93,90,9.17
76,Linjiang,41.81,126.91,23.47,73,48,4.5
77,New Norfolk,-42.78,147.06,48.2,66,20,8.05
78,Hoquiam,46.98,-123.89,52.52,93,75,11.41
79,Monrovia,6.33,-10.8,89.6,70,75,11.41
80,Butaritari,3.07,172.79,85.26,100,56,13.22
81,Puerto Ayora,-0.74,-90.35,77.0,69,20,14.99
82,Sioux Lookout,50.1,-91.92,41.0,100,90,4.7
83,Chute-aux-Outardes,49.12,-68.38,33.8,80,90,31.09
84,Longyearbyen,78.22,15.63,26.6,58,40,12.75
85,Port Macquarie,-31.43,152.91,59.0,87,90,5.82
86,Kuryk,43.18,51.68,54.16,76,0,13.44
87,Bambous Virieux,-20.34,57.76,75.2,69,40,2.24
88,Ribeira Grande,38.52,-28.7,68.0,56,40,14.99
89,Sosnovo-Ozerskoye,52.53,111.54,22.84,87,0,0.81
90,Miraflores,5.2,-73.14,65.55,64,8,2.48
91,Tingi,-11.3,35.03,79.95,94,0,7.74
92,Ambulu,-8.35,113.61,76.84,100,92,3.94
93,Ucluelet,48.94,-125.55,46.4,93,90,8.05
94,Hamilton,43.26,-79.87,37.4,93,90,4.7
95,Pringsewu,-5.36,104.98,73.11,97,64,2.48
96,Cravinhos,-21.34,-47.73,80.6,54,75,4.7
97,Aguimes,27.91,-15.45,71.6,60,75,16.11
98,Klaksvik,62.23,-6.59,42.8,81,76,20.8
99,Port Blair,11.67,92.75,85.3,97,0,12.55
100,Nome,30.04,-94.42,74.73,78,1,6.93
101,Hilo,19.71,-155.08,62.71,94,90,3.36
102,Lasa,34.92,32.53,72.7,60,20,5.82
103,Fortuna,38.18,-1.13,59.59,38,20,12.75
104,Luderitz,-26.65,15.16,71.6,68,24,10.29
105,Ust-Nera,64.57,143.24,-10.96,65,24,1.81
106,San Cristobal,-0.39,-78.55,57.2,71,75,8.05
107,Tieli,46.98,128.05,27.3,88,88,3.6
108,Rence,45.89,13.67,60.44,88,75,13.87
109,Mahebourg,-20.41,57.7,75.2,69,40,2.24
110,Parana,-7.52,-72.89,86.0,66,20,5.82
111,Ukiah,39.15,-123.21,55.4,87,90,2.59
112,Hoi An,15.88,108.33,80.6,74,75,5.82
113,Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,93,90,2.24
114,Georgetown,6.8,-58.16,86.0,74,40,6.93
115,Porto Murtinho,-21.7,-57.88,82.65,83,8,7.18
116,Saint George,39.45,22.34,69.8,68,20,13.87
117,Podgorica,42.44,19.26,68.81,64,90,13.87
118,Terrak,65.09,12.37,35.6,64,75,9.17
119,Sao Filipe,14.9,-24.5,79.45,93,88,13.0
120,Hasaki,35.73,140.83,51.8,100,20,2.24
121,Ahipara,-35.17,173.16,56.86,100,92,18.48
122,Roseto degli Abruzzi,42.68,14.01,71.6,60,92,5.82
123,Portland,45.52,-122.67,54.05,87,75,6.93
124,Dikson,73.51,80.55,27.75,100,68,31.68
125,Vytegra,61.01,36.45,29.01,100,0,11.1
126,Viedma,-40.81,-62.99,74.1,75,0,10.87
127,Charlestown,41.38,-71.64,52.59,76,40,16.11
128,Kihei,20.76,-156.45,74.28,83,40,19.46
129,Semirom,31.41,51.57,47.23,68,80,2.37
130,Pimenteiras,-6.24,-41.42,95.65,34,56,4.38
131,Sambava,-14.27,50.17,76.08,100,12,7.18
132,Mwinilunga,-11.73,24.43,83.73,24,0,4.94
133,Sultanpur,26.26,82.07,72.03,43,0,4.38
134,Ipixuna,-1.76,-48.8,86.0,74,40,11.41
135,Machico,32.7,-16.77,66.97,56,40,17.22
136,Villamontes,-21.26,-63.47,68.65,99,76,3.27
137,Dodge City,37.75,-100.02,48.54,57,1,12.75
138,Lerwick,60.15,-1.15,41.0,100,64,8.05
139,Mount Darwin,-16.77,31.58,83.05,20,0,13.0
140,Cascais,38.7,-9.42,57.47,54,20,24.16
141,Port Hardy,50.7,-127.42,48.2,87,90,10.29
142,Waddan,29.16,16.14,88.45,26,12,2.93
143,Praia,-20.25,-43.81,80.55,51,75,9.17
144,Thompson,55.74,-97.86,32.0,97,90,4.7
145,Huarmey,-10.07,-78.15,67.12,70,0,3.38
146,Bathsheba,13.22,-59.52,86.0,66,40,10.29
147,Egvekinot,66.32,-179.17,7.86,79,88,2.37
148,Santa Fe,-31.62,-60.7,75.63,74,0,8.08
149,Deputatskiy,69.3,139.9,13.35,77,88,16.46
150,Isangel,-19.55,169.27,74.5,100,0,2.15
151,Kununurra,-15.77,128.74,82.4,83,90,8.05
152,Trinidad,-33.52,-56.9,71.6,64,75,6.93
153,Amapa,15.09,-87.97,82.4,74,40,4.7
154,Salinas,36.67,-121.66,53.56,87,1,3.71
155,Hoopstad,-27.83,25.91,90.03,23,0,4.27
156,Araouane,18.9,-3.53,95.02,20,8,4.72
157,Quatre Cocos,-20.21,57.76,75.2,69,40,2.24
158,Okahandja,-21.98,16.91,86.0,13,92,4.7
159,Luba,17.32,120.7,68.61,61,0,7.63
160,Desaguadero,-16.56,-69.04,54.25,60,0,2.15
161,Abonnema,4.71,6.79,77.0,83,75,17.22
162,Zhigansk,66.77,123.37,26.89,85,92,14.0
163,Atar,20.52,-13.05,96.8,22,0,9.17
164,Cabo San Lucas,22.89,-109.91,71.44,73,5,4.94
165,Vestmannaeyjar,63.44,-20.27,41.0,100,90,11.41
166,Kazerun,29.62,51.65,63.21,73,0,2.37
167,Pevek,69.7,170.27,13.48,100,76,4.16
168,Zuwarah,32.93,12.08,83.55,56,56,6.17
169,Palafrugell,41.92,3.16,50.0,81,20,1.12
170,Mehamn,71.03,27.85,34.57,51,75,11.41
